,id,season,city,date,match_type,player_of_match,venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,target_runs,target_overs,super_over,method,umpire1,umpire2
790,1216512,2020,Abu Dhabi,18-10-2020,League,LH Ferguson,Sheikh Zayed Stadium,KKR,SRH,Sunrisers Hyderabad,field,KKR,tie,,164,20,Y,,PG Pathak,S Ravi
791,1216517,2020,,18-10-2020,League,KL Rahul,Dubai International Cricket Stadium,MI,KXIP,Mumbai Indians,bat,KXIP,tie,,177,20,Y,,Nitin Menon,PR Reiffel
792,1216533,2020,Abu Dhabi,19-10-2020,League,JC Buttler,Sheikh Zayed Stadium,CSK,RR,Chennai Super Kings,bat,RR,wickets,7,126,20,N,,CB Gaffaney,VK Sharma
793,1216546,2020,,20-10-2020,League,S Dhawan,Dubai International Cricket Stadium,DC,KXIP,Delhi Capitals,bat,KXIP,wickets,5,165,20,N,,C Shamshuddin,RK Illingworth
794,1216494,2020,Abu Dhabi,21-10-2020,League,Mohammed Siraj,Sheikh Zayed Stadium,KKR,RCB,Kolkata Knight Riders,bat,RCB,wickets,8,85,20,N,,VK Sharma,S Ravi
795,1216518,2020,,22-10-2020,League,MK Pandey,Dubai International Cricket Stadium,RR,SRH,Sunrisers Hyderabad,field,SRH,wickets,8,155,20,N,,Nitin Menon,PR Reiffel
796,1216521,2020,,23-10-2020,League,TA Boult,Sharjah Cricket Stadium,CSK,MI,Mumbai Indians,field,MI,wickets,10,115,20,N,,C Shamshuddin,VA Kulkarni
797,1216497,2020,Abu Dhabi,24-10-2020,League,CV Varun,Sheikh Zayed Stadium,KKR,DC,Delhi Capitals,field,KKR,runs,59,195,20,N,,CB Gaffaney,PG Pathak
798,1216498,2020,,24-10-2020,League,CJ Jordan,Dubai International Cricket Stadium,KXIP,SRH,Sunrisers Hyderabad,field,KXIP,runs,12,127,20,N,,AY Dandekar,PR Reiffel
799,1216541,2020,Abu Dhabi,25-10-2020,League,BA Stokes,Sheikh Zayed Stadium,MI,RR,Mumbai Indians,bat,RR,wickets,8,196,20,N,,UV Gandhe,VK Sharma
800,1216544,2020,,25-10-2020,League,RD Gaikwad,Dubai International Cricket Stadium,RCB,CSK,Royal Challengers Bangalore,bat,CSK,wickets,8,146,20,N,,C Shamshuddin,RK Illingworth
801,1216520,2020,,26-10-2020,League,CH Gayle,Sharjah Cricket Stadium,KKR,KXIP,Kings XI Punjab,field,KXIP,wickets,8,150,20,N,,KN Ananthapadmanabhan,RK Illingworth
802,1216524,2020,,27-10-2020,League,WP Saha,Dubai International Cricket Stadium,SRH,DC,Delhi Capitals,field,SRH,runs,88,220,20,N,,AK Chaudhary,Nitin Menon
803,1216499,2020,Abu Dhabi,28-10-2020,League,SA Yadav,Sheikh Zayed Stadium,RCB,MI,Mumbai Indians,field,MI,wickets,5,165,20,N,,UV Gandhe,CB Gaffaney
804,1216536,2020,,29-10-2020,League,RD Gaikwad,Dubai International Cricket Stadium,KKR,CSK,Chennai Super Kings,field,CSK,wickets,6,173,20,N,,C Shamshuddin,RK Illingworth
805,1216537,2020,Abu Dhabi,30-10-2020,League,BA Stokes,Sheikh Zayed Stadium,KXIP,RR,Rajasthan Royals,field,RR,wickets,7,186,20,N,,CB Gaffaney,S Ravi
806,1216502,2020,,31-10-2020,League,Sandeep Sharma,Sharjah Cricket Stadium,RCB,SRH,Sunrisers Hyderabad,field,SRH,wickets,5,121,20,N,,KN Ananthapadmanabhan,K Srinivasan
807,1216535,2020,,31-10-2020,League,Ishan Kishan,Dubai International Cricket Stadium,DC,MI,Mumbai Indians,field,MI,wickets,9,111,20,N,,YC Barde,PR Reiffel
808,1216506,2020,Abu Dhabi,01-11-2020,League,RD Gaikwad,Sheikh Zayed Stadium,KXIP,CSK,Chennai Super Kings,field,CSK,wickets,9,154,20,N,,PG Pathak,VK Sharma
809,1216530,2020,,01-11-2020,League,PJ Cummins,Dubai International Cricket Stadium,KKR,RR,Rajasthan Royals,field,KKR,runs,60,192,20,N,,Nitin Menon,PR Reiffel
810,1216505,2020,Abu Dhabi,02-11-2020,League,A Nortje,Sheikh Zayed Stadium,RCB,DC,Delhi Capitals,field,DC,wickets,6,153,20,N,,CB Gaffaney,S Ravi
811,1216495,2020,,03-11-2020,League,S Nadeem,Sharjah Cricket Stadium,MI,SRH,Sunrisers Hyderabad,field,SRH,wickets,10,150,20,N,,C Shamshuddin,RK Illingworth
812,1237177,2020,,05-11-2020,Qualifier 1,JJ Bumrah,Dubai International Cricket Stadium,MI,DC,Delhi Capitals,field,MI,runs,57,201,20,N,,CB Gaffaney,Nitin Menon
813,1237178,2020,Abu Dhabi,06-11-2020,Eliminator,KS Williamson,Sheikh Zayed Stadium,RCB,SRH,Sunrisers Hyderabad,field,SRH,wickets,6,132,20,N,,PR Reiffel,S Ravi
814,1237180,2020,Abu Dhabi,08-11-2020,Qualifier 2,MP Stoinis,Sheikh Zayed Stadium,DC,SRH,Delhi Capitals,bat,DC,runs,17,190,20,N,,PR Reiffel,S Ravi
815,1237181,2020,,10-11-2020,Final,TA Boult,Dubai International Cricket Stadium,DC,MI,Delhi Capitals,bat,MI,wickets,5,157,20,N,,CB Gaffaney,Nitin Menon
816,1254058,2021,Chennai,09-04-2021,League,HV Patel,"MA Chidambaram Stadium, Chepauk, Chennai",MI,RCB,Royal Challengers Bangalore,field,RCB,wickets,2,160,20,N,,KN Ananthapadmanabhan,Nitin Menon
817,1254059,2021,Mumbai,10-04-2021,League,S Dhawan,"Wankhede Stadium, Mumbai",CSK,DC,Delhi Capitals,field,DC,wickets,7,189,20,N,,AK Chaudhary,VK Sharma
818,1254060,2021,Chennai,11-04-2021,League,N Rana,"MA Chidambaram Stadium, Chepauk, Chennai",KKR,SRH,Sunrisers Hyderabad,field,KKR,runs,10,188,20,N,,KN Ananthapadmanabhan,Nitin Menon
819,1254061,2021,Mumbai,12-04-2021,League,SV Samson,"Wankhede Stadium, Mumbai",KXIP,RR,Rajasthan Royals,field,KXIP,runs,4,222,20,N,,AK Chaudhary,S Ravi
820,1254062,2021,Chennai,13-04-2021,League,RD Chahar,"MA Chidambaram Stadium, Chepauk, Chennai",MI,KKR,Kolkata Knight Riders,field,MI,runs,10,153,20,N,,C Shamshuddin,CB Gaffaney
